index,Date,close,high,low,open,volumefrom,volumeto,cRSI,MACD,MACD_Signal,candlestick_pattern,candlestick_match_count
574,2020-08-09,11686.34,11802.93,11533.93,11770.77,19874.64,231830330.42,38.33,583.2036673163038,539.3777517756524,,
575,2020-08-10,11897.41,12074.31,11640.41,11686.34,56105.27,667803525.71,72.96,584.5967276812389,548.4215469567697,,
576,2020-08-11,11389.01,11940.4,11138.6,11897.41,62677.5,724227264.93,23.74,538.4699604152356,546.4312296484629,,
577,2020-08-12,11570.19,11621.05,11182.8,11389.01,37568.86,430758054.54,63.11,510.6474509001,539.2744738987903,,
578,2020-08-13,11790.68,11795.34,11284.57,11570.19,42205.26,487564726.98,73.54,500.6187901586127,531.5433371507548,,
579,2020-08-14,11774.52,11863.43,11657.2,11790.68,37248.83,437825096.08,43.33,485.76740308014087,522.3881503366321,,
580,2020-08-15,11860.91,11981.62,11697.88,11774.52,31094.75,369258184.57,63.62,475.48740006333173,513.008000281972,,
581,2020-08-16,11917.97,11934.96,11701.22,11860.91,22029.01,260716863.02,66.88,466.56640168761805,503.7196805631013,,
582,2020-08-17,12301.19,12474.73,11775.66,11917.97,56064.01,682170133.05,88.41,484.8302758754471,499.94179962557047,,
583,2020-08-18,11956.69,12397.4,11855.24,12301.19,49904.68,604246043.52,26.08,466.1329661835698,493.1800329371704,,
584,2020-08-19,11760.37,12021.8,11592.2,11956.69,50094.06,590122894.96,21.62,430.5111655282981,480.6462594553959,,
585,2020-08-20,11863.43,11888.72,11679.03,11760.37,43209.58,510502416.84,59.91,405.9175477439294,465.70051711310265,,
586,2020-08-21,11527.35,11882.67,11494.52,11863.43,63548.27,745059089.73,23.63,355.2134022120863,443.6030941328994,,
587,2020-08-22,11670.42,11686.02,11379.06,11527.35,49538.11,572197825.57,60.4,322.8529075394217,419.4530568142039,,
588,2020-08-23,11651.52,11713.62,11521.6,11670.42,33405.25,388308826.36,38.56,292.31231590084644,394.0249086315324,,
589,2020-08-24,11756.4,11827.45,11594.64,11651.52,39119.97,459366140.6,63.01,273.41980318229434,369.90388754168487,,
590,2020-08-25,11330.56,11767.64,11130.36,11756.4,50836.08,583786229.48,20.67,221.5319393351965,340.2294979003872,,
591,2020-08-26,11466.89,11542.65,11259.23,11330.56,27168.29,309986442.65,59.04,189.22980168479262,310.02955865726824,,
592,2020-08-27,11331.02,11591.64,11135.52,11466.89,40978.91,464957172.93,27.92,150.92676162610042,278.2089992510347,,
593,2020-08-28,11535.21,11553.81,11289.07,11331.02,30815.36,353027933.9,67.95,135.48595517981812,249.6643904367914,,
594,2020-08-29,11480.48,11585.98,11433.8,11535.21,16305.87,187746012.8,40.15,117.47853183666484,223.22721871676612,,
595,2020-08-30,11716.54,11718.98,11470.07,11480.48,16398.78,190649396.2,74.43,120.86236218790873,202.75424741099465,,
596,2020-08-31,11657.81,11775.27,11586.36,11716.54,26331.03,307926585.75,44.53,117.45114822164214,185.69362757312416,,
